,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
52515,16092,PADK,medium_airport,Adak Airport,51.883564,-176.642783,18.0,,US,US-AK,Adak,yes,PADK,ADK,PADK,ADK,,https://en.wikipedia.org/wiki/Adak_Airport,
52516,5351,PADL,medium_airport,Dillingham Airport,59.04470062,-158.5050049,81.0,,US,US-AK,Dillingham,yes,PADL,DLG,PADL,DLG,,https://en.wikipedia.org/wiki/Dillingham_Airport,
52518,5353,PADQ,medium_airport,Kodiak Airport,57.75,-152.4940033,78.0,,US,US-AK,Kodiak,yes,PADQ,ADQ,PADQ,ADQ,,https://en.wikipedia.org/wiki/Kodiak_Airport,
52530,5360,PAFA,medium_airport,Fairbanks International Airport,64.815102,-147.856003,439.0,,US,US-AK,Fairbanks,yes,PAFA,FAI,PAFA,FAI,,https://en.wikipedia.org/wiki/Fairbanks_International_Airport,
52547,5369,PAGS,medium_airport,Gustavus Airport,58.4253006,-135.7070007,35.0,,US,US-AK,Gustavus,yes,PAGS,GST,PAGS,GST,,https://en.wikipedia.org/wiki/Gustavus_Airport,
52570,5379,PAJN,medium_airport,Juneau International Airport,58.354935,-134.574416,21.0,,US,US-AK,Juneau,yes,PAJN,JNU,PAJN,JNU,https://juneau.org/airport,https://en.wikipedia.org/wiki/Juneau_International_Airport,
52578,5380,PAKN,medium_airport,King Salmon Airport,58.677845,-156.651965,73.0,,US,US-AK,King Salmon,yes,PAKN,AKN,PAKN,AKN,,https://en.wikipedia.org/wiki/King_Salmon_Airport,Naknek Air Force Base
52581,5382,PAKT,medium_airport,Ketchikan International Airport,55.35559845,-131.7140045,89.0,,US,US-AK,Ketchikan,yes,PAKT,KTN,PAKT,KTN,,https://en.wikipedia.org/wiki/Ketchikan_International_Airport,
52606,5388,PANC,large_airport,Ted Stevens Anchorage International Airport,61.179004,-149.992561,152.0,,US,US-AK,Anchorage,yes,PANC,ANC,PANC,ANC,https://dot.alaska.gov/anc/,https://en.wikipedia.org/wiki/Ted_Stevens_Anchorage_International_Airport,Anchorage
52618,5393,PAOM,medium_airport,Nome Airport,64.51219940185547,-165.44500732421875,37.0,,US,US-AK,Nome,yes,PAOM,OME,PAOM,OME,,https://en.wikipedia.org/wiki/Nome_Airport,
52621,5395,PAOT,medium_airport,Ralph Wien Memorial Airport,66.88469696,-162.598999,14.0,,US,US-AK,Kotzebue,yes,PAOT,OTZ,PAOT,OTZ,,https://en.wikipedia.org/wiki/Ralph_Wien_Memorial_Airport,
52626,5398,PAPG,medium_airport,Petersburg James A Johnson Airport,56.80170059,-132.9450073,111.0,,US,US-AK,Petersburg,yes,PAPG,PSG,PAPG,PSG,,https://en.wikipedia.org/wiki/Petersburg_James_A._Johnson_Airport,
